#Category OTU Counts-HostSpecies
#OTU ID	Megachile_odontostoma	Agapostemon_virescens	Philanthus_gibbosus	Chalybion_californicum	Hoplitis_biscutellae	Paragia_vespiformis	Rediviva_saetigera	Halictus_patellatus	Apis_mellifera	Xylocopa_californica	Diadasia_opuntiae	Colletes_inaequalis	Apis_dorsata	Bombus_impatiens	Hesperapis_cockerelli	Apis_andreniformis	Caupolicana_yarrowi	Calliopsis_subalpinus	Bombus_sp.	Bombus_sonorus	Consensus Lineage
13	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	Root; Bacteria; Firmicutes; "Bacilli"; "Lactobacillales"
14	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	Root; Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia
15	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Root; Bacteria; Actinobacteria; Actinobacteria; Actinobacteridae; Actinomycetales; Propionibacterineae; Nocardioidaceae; Nocardioides
16	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	Root; Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales
17	0	1	2	3	1	0	1	0	2	253	0	1	0	0	1	0	1	0	0	0	Root; Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae
18	0	0	0	0	0	0	0	0	3	14	0	0	0	0	0	0	0	0	0	0	Root; Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; Acetobacteraceae
19	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	Root; Bacteria; Actinobacteria; Actinobacteria; Actinobacteridae; Actinomycetales; Micrococcineae; Microbacteriaceae; Microbacterium
20	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Root; Bacteria; Aquificae; Aquificae; Aquificales; Aquificaceae; Hydrogenobaculum
21	0	0	3	11	0	6	1	4	1	3	0	4	0	0	1	0	1	1	0	0	Root; Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Ralstonia
22	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Root; Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; Sphingobium
