#Example_input/otu_table_rarified.txt
#OTU ID	SHNI	SHNN	SHNO	SHNP	SHNS	SHNT	SHNU	SHNW	SHNX	SHNY	SHNZ	SHOA	SHOB	SHOC	SHOF	SHOG	Consensus Lineage
87	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	Root;Bacteria;Firmicutes;"Bacilli";"Lactobacillales";"Leuconostocaceae";Leuconostoc
90	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Anaplasmataceae;Wolbachia
92	0	2	1	0	0	2	8	2	2	0	14	1	1	0	2	0	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Stenotrophomonas
94	0	0	21	3	0	0	0	1	0	0	0	0	0	0	0	0	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter
97	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	Root;Bacteria;Actinobacteria;Actinobacteria;Actinobacteridae;Actinomycetales;Propionibacterineae;Nocardioidaceae;Nocardioides
98	0	0	0	0	0	0	4	0	1	0	0	0	0	0	1	0	Root;Bacteria;Bacteroidetes;Sphingobacteria;Sphingobacteriales
99	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	Root;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia
102	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	Root;Bacteria;Firmicutes;"Bacilli";"Lactobacillales"
105	0	0	21	0	0	1	0	0	0	0	0	0	0	0	0	0	Root;Bacteria;Firmicutes;"Bacilli";"Lactobacillales";Lactobacillaceae;Lactobacillus
107	0	0	0	0	0	0	0	0	0	0	0	60	0	0	1	44	Root;Bacteria;Firmicutes;"Bacilli";"Lactobacillales"
